sample_id,Yp,D_H,He3oH,Li7oH,Neff,YPCMB,He3oHe4,n,p,H2,H3,He3,He4,Li7,Be7,He6,Li8,Li6,B8
11,0.24711239969024576,2.4715481827028898e-05,1.049044222166092e-05,5.590884847941778e-10,3.0439772985579183,0.24578568119892832,0.0001278363194213817,4.0412619526839263e-16,0.7528266919615344,1.8606474424077587e-05,5.788836704853442e-08,7.839596547898066e-06,0.06177809992256144,2.1255803149985846e-11,3.996409313714016e-10,0.0,0.0,0.0,0.0
12,0.24714169396884095,2.4304056180654438e-05,1.0473561088449715e-05,5.788971051479493e-10,3.0439772985579183,0.2458148695504039,0.00012761062393740007,3.9906626407173897e-16,0.7527980574603681,1.8296046281204315e-05,5.803871360851076e-08,7.826437728468932e-06,0.06178542349221024,2.1303820343086118e-11,4.1448879588172055e-10,0.0,0.0,0.0,0.0
13,0.24689798368620738,2.4437943813566065e-05,1.0388961427058008e-05,5.836731043770065e-10,3.0439772985579183,0.2455720408871891,0.00012674581540165502,4.0126510733111065e-16,0.753041737690681,1.8402791674955017e-05,5.8645678109693895e-08,7.764675887723524e-06,0.061724495921551846,2.1293810231390668e-11,4.1823639853198456e-10,0.0,0.0,0.0,0.0
14,0.24693649393138944,2.4313260714869418e-05,1.0343988461087415e-05,5.474599810572711e-10,3.0439772985579183,0.24561041176581086,0.00012617105878016415,4.0097468292296955e-16,0.7530035200636157,1.8307970902521093e-05,5.864239447016489e-08,7.730417328226081e-06,0.06173412348284736,2.2755441977070217e-11,3.894838508530153e-10,0.0,0.0,0.0,0.0
15,0.24701652363121568,2.4393996763586808e-05,1.0340719210524077e-05,5.450992285235565e-10,3.0439772985579183,0.2456901519097507,0.00012607689836657317,4.0488685324417823e-16,0.7529233825685379,1.8366810557605746e-05,5.81148532309405e-08,7.727654432948309e-06,0.06175413090780392,2.1036724180655595e-11,3.89381230794801e-10,0.0,0.0,0.0,0.0
16,0.24706893704928495,2.418641377612752e-05,1.043735551144155e-05,5.412089014286523e-10,3.0439772985579183,0.24574237573987395,0.00012721927865439698,3.971339983748757e-16,0.7528710676488551,1.8209251162230104e-05,5.975749369499336e-08,7.798225493634668e-06,0.06176723426232124,2.2529709935015094e-11,3.8493081350463834e-10,0.0,0.0,0.0,0.0
17,0.2470283800586322,2.4446117530687384e-05,1.051324017215708e-05,5.517637677952355e-10,3.0439772985579183,0.24570196544710426,0.00012817207138524303,4.0675487370940696e-16,0.7529110589261748,1.8405752236663565e-05,5.875917025252017e-08,7.856775620511467e-06,0.06175709501465805,2.0991100016738725e-11,3.944379426710681e-10,0.0,0.0,0.0,0.0
18,0.2470067210506715,2.395587028883873e-05,1.0578422521272443e-05,5.681552585859052e-10,3.0439772985579183,0.24568038479108442,0.000128981861200527,3.9394601883593777e-16,0.7529333070712594,1.803717264034547e-05,5.8638428360354527e-08,7.906208224178397e-06,0.06175168026266788,2.1939504622029515e-11,4.058435131549826e-10,0.0,0.0,0.0,0.0
19,0.24683557044141405,2.489237543344223e-05,1.0318420522236975e-05,5.295320810913429e-10,3.0439772985579183,0.24550985355741523,0.00012592739119707085,4.1369748812132796e-16,0.753103621172957,1.87465380785221e-05,5.9541220369138806e-08,7.711298639712882e-06,0.06170889261035351,2.0299311081784242e-11,3.7849321671535804e-10,0.0,0.0,0.0,0.0
20,0.2468276624200841,2.436186520172444e-05,1.0625579086623445e-05,5.434856870317266e-10,3.0439772985579183,0.24550197416442224,0.0001296815299396774,3.990462046486298e-16,0.7531116335665621,1.8347204098799075e-05,5.742219306093742e-08,7.944825030456744e-06,0.06170691560502103,2.1316224932467785e-11,3.8798916864804106e-10,0.0,0.0,0.0,0.0
21,0.2469482784994807,2.426260590611027e-05,1.0395392236224348e-05,5.713421420440043e-10,3.0439772985579183,0.24562215369037876,0.00012679001583750248,3.9639083077249763e-16,0.7529916964769882,1.8269540782194565e-05,5.9167003075571235e-08,7.768477032422713e-06,0.061737069624870175,2.0451268259197907e-11,4.097646205473132e-10,0.0,0.0,0.0,0.0
22,0.24709452348931454,2.3945989359330727e-05,1.0591520297497495e-05,5.721118974703092e-10,3.0439772985579183,0.24576786964372574,0.00012908061657885056,3.9016000859981544e-16,0.7528454969017524,1.8027630258029416e-05,5.848424511654788e-08,7.91529411619795e-06,0.061773630872328636,2.1039493806750212e-11,4.0967237192768916e-10,0.0,0.0,0.0,0.0
23,0.24696713384085278,2.3899127417266367e-05,1.0376785414696453e-05,5.537254316961794e-10,3.0439772985579183,0.24564094080610097,0.0001265503406271502,3.852316228646969e-16,0.7529734320950388,1.7995407995455694e-05,5.8462948034432004e-08,7.754980779783296e-06,0.061741783460213195,2.087106788470877e-11,3.960694708578704e-10,0.0,0.0,0.0,0.0
24,0.24694226984662246,2.4444940699625284e-05,1.028897002814128e-05,5.572140433042107e-10,3.0439772985579183,0.24561616678012668,0.00012549605975932605,4.0488814038013116e-16,0.7529976705397644,1.8406983403300516e-05,5.931103405595612e-08,7.688259429387882e-06,0.061735567461655615,2.2536250904434164e-11,3.9704462569567987e-10,0.0,0.0,0.0,0.0
25,0.24696926591571955,2.4234083502970477e-05,1.060979187607883e-05,5.845258470722234e-10,3.0439772985579183,0.24564306516664447,0.00012939031611046724,3.93351809115283e-16,0.752970269342717,1.8247544382505576e-05,5.7038216392880675e-08,7.931819630208367e-06,0.06174231647892989,2.0905347449126452e-11,4.1922523705862546e-10,0.0,0.0,0.0,0.0
26,0.24692737386137262,2.469676250243121e-05,1.0477716530241067e-05,5.459194431119347e-10,3.0439772985579183,0.24560132469894527,0.00012780832906482818,4.070719988092596e-16,0.7530117598262143,1.8596952593965785e-05,5.801853541004878e-08,7.831825227986992e-06,0.061731843465343154,2.171673994949805e-11,3.893670206315668e-10,0.0,0.0,0.0,0.0
27,0.24687324885826553,2.4314175604208124e-05,1.0258100251714693e-05,5.290042469559265e-10,3.0439772985579183,0.2455473955844091,0.0001251660329214123,3.9852442781826214e-16,0.7530669528415985,1.8310202133116545e-05,5.8480651521413475e-08,7.666555646981005e-06,0.06171831221456638,2.0725777938495456e-11,3.7764983835686857e-10,0.0,0.0,0.0,0.0
28,0.24692276555041884,2.450000153691179e-05,1.0171790422136988e-05,5.139917306252208e-10,3.0439772985579183,0.2455967330647146,0.00012407984666974224,4.041374038301281e-16,0.7530173552850277,1.8448926361804428e-05,5.8490562820978905e-08,7.601044159370191e-06,0.06173069138760471,2.0207297817485165e-11,3.668373958162929e-10,0.0,0.0,0.0,0.0
