YPBBN	DoH	He3oH	Li7oH	Neff	YPCMB	He3oHe4	n	p	H2	H3	He3	He4	Li7	Be7	He6	Li8	Li6	B8
2.4673376709e-01	2.3877551195e-05	1.0636349435e-05	5.9835893476e-10	3.0439772986e+00	2.4540841882e-01	1.2987869011e-04	3.8752589118e-16	7.5320622622e-01	1.7984720227e-05	5.6892600507e-08	7.9544720184e-06	6.1683441774e-02	2.2596821658e-11	4.2809085352e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4705455826e-01	2.4359886930e-05	1.0410941919e-05	5.3393714950e-10	3.0439772986e+00	2.4572804896e-01	1.2690710262e-04	3.9528076167e-16	7.5288524379e-01	1.8340199410e-05	5.8981399943e-08	7.7792631446e-06	6.1763639566e-02	2.1163917431e-11	3.8082948354e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4709811263e-01	2.4568430483e-05	1.0436578297e-05	5.4636953876e-10	3.0439772986e+00	2.4577144581e-01	1.2718975969e-04	4.0386578251e-16	7.5284132097e-01	1.8496129659e-05	5.9371570852e-08	7.7977158203e-06	6.1774528158e-02	2.3280998549e-11	3.8804856674e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4691128970e-01	2.3958558376e-05	1.0436633091e-05	5.7819108712e-10	3.0439772986e+00	2.4558529874e-01	1.2731840461e-04	3.8605821811e-16	7.5302904701e-01	1.8041490382e-05	5.8088163893e-08	7.8009997070e-06	6.1727822424e-02	2.1945675760e-11	4.1344900757e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4706740376e-01	2.4348774798e-05	1.0504297354e-05	5.8294054955e-10	3.0439772986e+00	2.4574084799e-01	1.2803621020e-04	4.0375922604e-16	7.5287220496e-01	1.8331515770e-05	5.9075773912e-08	7.8493177366e-06	6.1766850939e-02	2.1856604634e-11	4.1702313226e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4705367754e-01	2.4854651601e-05	1.0243993989e-05	5.3996180655e-10	3.0439772986e+00	2.4572717143e-01	1.2487257411e-04	4.1223532139e-16	7.5288575652e-01	1.8712713173e-05	5.8505642597e-08	7.6540515219e-06	6.1763419386e-02	2.1767544540e-11	3.8476200868e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4689960662e-01	2.4578007139e-05	1.0564234317e-05	5.6801542085e-10	3.0439772986e+00	2.4557365795e-01	1.2888292408e-04	4.0477086696e-16	7.5303950811e-01	1.8508210406e-05	5.8321525957e-08	7.8969642878e-06	6.1724901655e-02	2.3429572471e-11	4.0430848065e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4685643706e-01	2.4521453191e-05	1.0416569781e-05	5.6202233244e-10	3.0439772986e+00	2.4553064464e-01	1.2711100723e-04	4.0624892704e-16	7.5308309297e-01	1.8466691813e-05	5.8644686509e-08	7.7858979024e-06	6.1714109264e-02	2.2013375617e-11	4.0123614082e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4710388005e-01	2.4573641832e-05	1.0392288419e-05	5.6260520887e-10	3.0439772986e+00	2.4577719237e-01	1.2664609176e-04	4.0652192487e-16	7.5283564610e-01	1.8499913525e-05	5.8663220250e-08	7.7650219465e-06	6.1775970013e-02	2.2705550252e-11	4.0084370567e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4687187546e-01	2.4586336541e-05	1.0582056022e-05	5.6212499937e-10	3.0439772986e+00	2.4554602715e-01	1.2911959481e-04	4.0400425387e-16	7.5306718426e-01	1.8515163230e-05	5.9068706945e-08	7.9099304254e-06	6.1717968864e-02	2.2325666279e-11	4.0099222420e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4694674458e-01	2.4384169079e-05	1.0562139637e-05	5.7785755935e-10	3.0439772986e+00	2.4562062533e-01	1.2882475928e-04	3.9640246800e-16	7.5299267053e-01	1.8361100594e-05	5.8281891657e-08	7.8949318398e-06	6.1736686146e-02	2.1555894633e-11	4.1356661217e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4699263442e-01	2.4748267633e-05	1.0303794859e-05	5.5241732965e-10	3.0439772986e+00	2.4566634912e-01	1.2564276807e-04	4.0754136109e-16	7.5294681978e-01	1.8634129409e-05	5.9030241713e-08	7.6991793289e-06	6.1748158605e-02	2.0877811182e-11	3.9506306037e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4697683891e-01	2.4402872924e-05	1.0327457851e-05	5.5573992934e-10	3.0439772986e+00	2.4565061076e-01	1.2594208451e-04	3.9687438943e-16	7.5296308066e-01	1.8374462374e-05	5.8437216569e-08	7.7177572627e-06	6.1744209727e-02	2.0347609892e-11	3.9810403935e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4706205364e-01	2.3993566926e-05	1.0438936937e-05	5.5896039981e-10	3.0439772986e+00	2.4573551722e-01	1.2724331113e-04	3.9391562243e-16	7.5287823720e-01	1.8064234372e-05	5.8040412864e-08	7.8012080269e-06	6.1765513409e-02	2.1649747580e-11	3.9917937290e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4702288202e-01	2.4154883749e-05	1.0455468597e-05	5.6023223938e-10	3.0439772986e+00	2.4569648729e-01	1.2747161392e-04	3.9435628165e-16	7.5291712548e-01	1.8186625639e-05	5.8493296893e-08	7.8136080648e-06	6.1755720504e-02	2.1349280058e-11	4.0045916722e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2.4706748694e-01	2.4126635607e-05	1.0394049911e-05	5.5738567717e-10	3.0439772986e+00	2.4574093088e-01	1.2669245271e-04	3.9328309255e-16	7.5287270536e-01	1.8164285421e-05	5.8576746816e-08	7.7668197295e-06	6.1766871735e-02	2.2509087664e-11	3.9713137504e-10	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
